"","year","month","anom","dec.yr"
"05/01/90",1990,5,-0.132070176323578,1990.375
"06/01/90",1990,6,0.157633459664942,1990.45833333333
"07/01/90",1990,7,0.0714317957560221,1990.54166666667
"08/01/90",1990,8,-0.233917683443726,1990.625
"09/01/90",1990,9,0.118637557921371,1990.70833333333
"10/01/90",1990,10,-0.413444949359429,1990.79166666667
"11/01/90",1990,11,-0.557760927412245,1990.875
"12/01/90",1990,12,-0.615191645738555,1990.95833333333
"01/01/91",1991,1,-0.197958577939165,1991.04166666667
"02/01/91",1991,2,-0.536715896472052,1991.125
"03/01/91",1991,3,-0.450276619050561,1991.20833333333
"04/01/91",1991,4,-0.398763893096428,1991.29166666667
"05/01/91",1991,5,-0.755303547634342,1991.375
"06/01/91",1991,6,-0.869482256209624,1991.45833333333
"07/01/91",1991,7,-0.125134680006239,1991.54166666667
"08/01/91",1991,8,-1.13217493899793,1991.625
"09/01/91",1991,9,-0.794909746020144,1991.70833333333
"10/01/91",1991,10,-0.0517978732824971,1991.79166666667
"11/01/91",1991,11,0.316197819179959,1991.875
"12/01/91",1991,12,-0.105927918338517,1991.95833333333
"01/01/92",1992,1,0.0450877057827586,1992.04166666667
"02/01/92",1992,2,0.00656216189790228,1992.125
"03/01/92",1992,3,-0.342784331096866,1992.20833333333
"04/01/92",1992,4,-0.409583248743197,1992.29166666667
"05/01/92",1992,5,-0.44908179758687,1992.375
"06/01/92",1992,6,-0.456069102455284,1992.45833333333
"07/01/92",1992,7,-0.50076421101888,1992.54166666667
"08/01/92",1992,8,-0.588717801784112,1992.625
"09/01/92",1992,9,-0.795006279053727,1992.70833333333
"10/01/92",1992,10,-0.998869213631483,1992.79166666667
"11/01/92",1992,11,-0.115326563517253,1992.875
"12/01/92",1992,12,-0.460368077606367,1992.95833333333
"01/01/93",1993,1,-0.247319806882036,1993.04166666667
"02/01/93",1993,2,-0.543499858721808,1993.125
"03/01/93",1993,3,-0.310122045398081,1993.20833333333
"04/01/93",1993,4,0.0815327451804143,1993.29166666667
"05/01/93",1993,5,0.293841091274892,1993.375
"06/01/93",1993,6,0.545683433046832,1993.45833333333
"07/01/93",1993,7,0.334012985229492,1993.54166666667
"08/01/93",1993,8,0.355152530721856,1993.625
"09/01/93",1993,9,-0.0526176597367779,1993.70833333333
"10/01/93",1993,10,0.246221323969565,1993.79166666667
"11/01/93",1993,11,0.849459595150418,1993.875
"12/01/93",1993,12,0.638810554494057,1993.95833333333
"01/01/94",1994,1,0.504463193216298,1994.04166666667
"02/01/94",1994,2,0.317678459937657,1994.125
"03/01/94",1994,3,0.461477538757531,1994.20833333333
"04/01/94",1994,4,-0.0584284974953669,1994.29166666667
"05/01/94",1994,5,-0.264133406202321,1994.375
