"Survey","Haul","Latitude","Longitude","length","weight","Age","maturity_table_3","julian","year","sex.code","log.weight","sc.weight","year.class","apr.jul.wSST","nov.feb.wSST","annual.wSST","poll.SSB.2020","age.factor","prevyr_annual.wSST","cohort"
199605,3,56.225,-156.37,520,802,8,"5",77,1996,"1",6.68710860786651,-0.961618465277798,1988,7.58971921602885,4.79376306003994,7.16670530151438,359,"8",6.85464304244077,"1988"
199605,7,56.532,-156.13283,560,1410,8,"3",78,1996,"1",7.25134498337221,1.16112974957197,1988,7.58971921602885,4.79376306003994,7.16670530151438,359,"8",6.85464304244077,"1988"
199605,7,56.532,-156.13283,490,894,8,"5",78,1996,"1",6.79570577517351,-0.553058413061979,1988,7.58971921602885,4.79376306003994,7.16670530151438,359,"8",6.85464304244077,"1988"
199605,8,56.7185,-155.48517,520,904,8,"4",79,1996,"1",6.80682936039218,-0.51120969204593,1988,7.58971921602885,4.79376306003994,7.16670530151438,359,"8",6.85464304244077,"1988"
199605,9,56.809,-155.96133,500,1180,8,"3",79,1996,"1",7.07326971745971,0.491181888649541,1988,7.58971921602885,4.79376306003994,7.16670530151438,359,"8",6.85464304244077,"1988"
199605,9,56.809,-155.96133,500,914,8,"3",79,1996,"1",6.81783057145415,-0.469821362337375,1988,7.58971921602885,4.79376306003994,7.16670530151438,359,"8",6.85464304244077,"1988"
199605,9,56.809,-155.96133,520,1464,8,"3",79,1996,"1",7.28892769452126,1.30252196826638,1988,7.58971921602885,4.79376306003994,7.16670530151438,359,"8",6.85464304244077,"1988"
199605,9,56.809,-155.96133,540,1346,8,"3",79,1996,"1",7.20489251020467,0.98636805611791,1988,7.58971921602885,4.79376306003994,7.16670530151438,359,"8",6.85464304244077,"1988"
199605,9,56.809,-155.96133,470,932,8,"4",79,1996,"1",6.83733281468559,-0.396450779010477,1988,7.58971921602885,4.79376306003994,7.16670530151438,359,"8",6.85464304244077,"1988"
199605,9,56.809,-155.96133,500,1136,8,"3",79,1996,"1",7.0352685992811,0.34821555525133,1988,7.58971921602885,4.79376306003994,7.16670530151438,359,"8",6.85464304244077,"1988"
199504,10,58.25,-154.02,540,1178,8,"4",82,1995,"1",7.07157336421153,0.484799934231771,1987,6.93110034863154,4.49333669874403,6.85464304244077,390,"8",7.17114786307017,"1987"
199504,10,58.25,-154.02,520,1290,8,"5",82,1995,"1",7.16239749735572,0.826494966432244,1987,6.93110034863154,4.49333669874403,6.85464304244077,390,"8",7.17114786307017,"1987"
199504,10,58.25,-154.02,570,1804,8,"4",82,1995,"1",7.49776170062257,2.08818916892173,1987,6.93110034863154,4.49333669874403,6.85464304244077,390,"8",7.17114786307017,"1987"
199504,12,57.87,-154.35,530,1158,8,"4",82,1995,"1",7.05444965813294,0.420377791158552,1987,6.93110034863154,4.49333669874403,6.85464304244077,390,"8",7.17114786307017,"1987"
199504,14,57.67,-154.78,550,928,8,"5",83,1995,"1",6.8330317327862,-0.412632142566966,1987,6.93110034863154,4.49333669874403,6.85464304244077,390,"8",7.17114786307017,"1987"
199605,11,56.9485,-155.34117,500,1016,8,"3",80,1996,"1",6.92362862813843,-0.0717920155767355,1988,7.58971921602885,4.79376306003994,7.16670530151438,359,"8",6.85464304244077,"1988"
199605,11,56.9485,-155.34117,510,1068,8,"3",80,1996,"1",6.97354301952014,0.115993972354086,1988,7.58971921602885,4.79376306003994,7.16670530151438,359,"8",6.85464304244077,"1988"
