"","year","month","anom","dec.yr"
"05/01/90",1990,5,-0.129568073484633,1990.375
"06/01/90",1990,6,0.157531034378779,1990.45833333333
"07/01/90",1990,7,0.0717945477319141,1990.54166666667
"08/01/90",1990,8,-0.23506320721258,1990.625
"09/01/90",1990,9,0.119662809624243,1990.70833333333
"10/01/90",1990,10,-0.389662434815099,1990.79166666667
"11/01/90",1990,11,-0.539783333975171,1990.875
"12/01/90",1990,12,-0.586797159184855,1990.95833333333
"01/01/91",1991,1,-0.204499691882461,1991.04166666667
"02/01/91",1991,2,-0.54162379484328,1991.125
"03/01/91",1991,3,-0.453001089196987,1991.20833333333
"04/01/91",1991,4,-0.398331567723915,1991.29166666667
"05/01/91",1991,5,-0.752801444795397,1991.375
"06/01/91",1991,6,-0.869584681495787,1991.45833333333
"07/01/91",1991,7,-0.124771928030347,1991.54166666667
"08/01/91",1991,8,-1.13332046276678,1991.625
"09/01/91",1991,9,-0.793884494317272,1991.70833333333
"10/01/91",1991,10,-0.0280153587381676,1991.79166666667
"11/01/91",1991,11,0.334175412617032,1991.875
"12/01/91",1991,12,-0.0775334317848166,1991.95833333333
"01/01/92",1992,1,0.0385465918394626,1992.04166666667
"02/01/92",1992,2,0.00165426352667438,1992.125
"03/01/92",1992,3,-0.345508801243293,1992.20833333333
"04/01/92",1992,4,-0.409150923370684,1992.29166666667
"05/01/92",1992,5,-0.446579694747925,1992.375
"06/01/92",1992,6,-0.456171527741447,1992.45833333333
"07/01/92",1992,7,-0.500401459042988,1992.54166666667
"08/01/92",1992,8,-0.589863325552966,1992.625
"09/01/92",1992,9,-0.793981027350855,1992.70833333333
"10/01/92",1992,10,-0.975086699087153,1992.79166666667
"11/01/92",1992,11,-0.097348970080179,1992.875
"12/01/92",1992,12,-0.431973591052666,1992.95833333333
"01/01/93",1993,1,-0.253860920825332,1993.04166666667
"02/01/93",1993,2,-0.548407757093036,1993.125
"03/01/93",1993,3,-0.312846515544508,1993.20833333333
"04/01/93",1993,4,0.0819650705529268,1993.29166666667
"05/01/93",1993,5,0.296343194113837,1993.375
"06/01/93",1993,6,0.545581007760669,1993.45833333333
"07/01/93",1993,7,0.334375737205384,1993.54166666667
"08/01/93",1993,8,0.354007006953002,1993.625
"09/01/93",1993,9,-0.0515924080339059,1993.70833333333
"10/01/93",1993,10,0.270003838513894,1993.79166666667
"11/01/93",1993,11,0.867437188587491,1993.875
"12/01/93",1993,12,0.667205041047757,1993.95833333333
